Iteration 1/1000000: Train loss: 5.120366, Train Accuracy: 0.515625, lr = 0.001000
Iteration 90/1000000: Train loss: 5.120289, Train Accuracy: 0.468750, lr = 0.001000
Iteration 91/1000000: Train loss: 5.119834, Train Accuracy: 0.515625, lr = 0.001000
Iteration 92/1000000: Train loss: 5.120730, Train Accuracy: 0.500000, lr = 0.001000
Iteration 93/1000000: Train loss: 5.119927, Train Accuracy: 0.515625, lr = 0.001000
Iteration 94/1000000: Train loss: 5.119640, Train Accuracy: 0.531250, lr = 0.001000
Iteration 95/1000000: Train loss: 5.120542, Train Accuracy: 0.500000, lr = 0.001000
Iteration 96/1000000: Train loss: 5.119958, Train Accuracy: 0.500000, lr = 0.001000
Iteration 97/1000000: Train loss: 5.119878, Train Accuracy: 0.515625, lr = 0.001000
Iteration 98/1000000: Train loss: 5.118834, Train Accuracy: 0.562500, lr = 0.001000
Iteration 99/1000000: Train loss: 5.121100, Train Accuracy: 0.515625, lr = 0.001000
Iteration 100/1000000: Train loss: 5.120317, Train Accuracy: 0.500000, lr = 0.001000
Iteration 101/1000000: Train loss: 5.120021, Train Accuracy: 0.500000, lr = 0.001000
Iteration 102/1000000: Train loss: 5.119093, Train Accuracy: 0.500000, lr = 0.001000
Iteration 103/1000000: Train loss: 5.119973, Train Accuracy: 0.546875, lr = 0.001000
Iteration 104/1000000: Train loss: 5.119627, Train Accuracy: 0.500000, lr = 0.001000
Iteration 105/1000000: Train loss: 5.119752, Train Accuracy: 0.515625, lr = 0.001000
Iteration 106/1000000: Train loss: 5.121566, Train Accuracy: 0.484375, lr = 0.001000
Iteration 107/1000000: Train loss: 5.119371, Train Accuracy: 0.515625, lr = 0.001000
Iteration 108/1000000: Train loss: 5.121686, Train Accuracy: 0.578125, lr = 0.001000
Iteration 109/1000000: Train loss: 5.119578, Train Accuracy: 0.546875, lr = 0.001000
Iteration 110/1000000: Train loss: 5.120480, Train Accuracy: 0.515625, lr = 0.001000
Iteration 111/1000000: Train loss: 5.120066, Train Accuracy: 0.515625, lr = 0.001000
Iteration 112/1000000: Train loss: 5.120728, Train Accuracy: 0.500000, lr = 0.001000
Iteration 113/1000000: Train loss: 5.120677, Train Accuracy: 0.468750, lr = 0.001000
Iteration 114/1000000: Train loss: 5.119263, Train Accuracy: 0.515625, lr = 0.001000
Iteration 115/1000000: Train loss: 5.120487, Train Accuracy: 0.468750, lr = 0.001000
Iteration 116/1000000: Train loss: 5.120633, Train Accuracy: 0.531250, lr = 0.001000
Iteration 117/1000000: Train loss: 5.117969, Train Accuracy: 0.671875, lr = 0.001000
Iteration 118/1000000: Train loss: 5.120303, Train Accuracy: 0.531250, lr = 0.001000
Iteration 119/1000000: Train loss: 5.119638, Train Accuracy: 0.515625, lr = 0.001000
Iteration 120/1000000: Train loss: 5.119901, Train Accuracy: 0.546875, lr = 0.001000
Iteration 121/1000000: Train loss: 5.120488, Train Accuracy: 0.453125, lr = 0.001000
Iteration 122/1000000: Train loss: 5.119871, Train Accuracy: 0.531250, lr = 0.001000
Iteration 123/1000000: Train loss: 5.119434, Train Accuracy: 0.500000, lr = 0.001000
Iteration 124/1000000: Train loss: 5.116955, Train Accuracy: 0.640625, lr = 0.001000
Iteration 125/1000000: Train loss: 5.121013, Train Accuracy: 0.484375, lr = 0.001000
Iteration 126/1000000: Train loss: 5.120092, Train Accuracy: 0.500000, lr = 0.001000
Iteration 127/1000000: Train loss: 5.119640, Train Accuracy: 0.531250, lr = 0.001000
Iteration 128/1000000: Train loss: 5.121271, Train Accuracy: 0.531250, lr = 0.001000
Iteration 129/1000000: Train loss: 5.119440, Train Accuracy: 0.531250, lr = 0.001000
Iteration 130/1000000: Train loss: 5.119635, Train Accuracy: 0.515625, lr = 0.001000
Iteration 131/1000000: Train loss: 5.119090, Train Accuracy: 0.546875, lr = 0.001000
Iteration 132/1000000: Train loss: 5.119788, Train Accuracy: 0.453125, lr = 0.001000
Iteration 133/1000000: Train loss: 5.120721, Train Accuracy: 0.500000, lr = 0.001000
Iteration 134/1000000: Train loss: 5.120110, Train Accuracy: 0.515625, lr = 0.001000
Iteration 135/1000000: Train loss: 5.121334, Train Accuracy: 0.437500, lr = 0.001000
Iteration 136/1000000: Train loss: 5.120036, Train Accuracy: 0.500000, lr = 0.001000
Iteration 137/1000000: Train loss: 5.119053, Train Accuracy: 0.546875, lr = 0.001000
Iteration 138/1000000: Train loss: 5.119541, Train Accuracy: 0.500000, lr = 0.001000
Iteration 139/1000000: Train loss: 5.121241, Train Accuracy: 0.453125, lr = 0.001000
Iteration 140/1000000: Train loss: 5.119613, Train Accuracy: 0.546875, lr = 0.001000
Iteration 141/1000000: Train loss: 5.120362, Train Accuracy: 0.515625, lr = 0.001000
Iteration 142/1000000: Train loss: 5.119936, Train Accuracy: 0.500000, lr = 0.001000
Iteration 143/1000000: Train loss: 5.120461, Train Accuracy: 0.453125, lr = 0.001000
Iteration 144/1000000: Train loss: 5.119303, Train Accuracy: 0.546875, lr = 0.001000
Iteration 145/1000000: Train loss: 5.120436, Train Accuracy: 0.484375, lr = 0.001000
Iteration 146/1000000: Train loss: 5.120233, Train Accuracy: 0.546875, lr = 0.001000
Iteration 147/1000000: Train loss: 5.121463, Train Accuracy: 0.468750, lr = 0.001000
Iteration 148/1000000: Train loss: 5.118333, Train Accuracy: 0.515625, lr = 0.001000
Iteration 149/1000000: Train loss: 5.119041, Train Accuracy: 0.578125, lr = 0.001000
Iteration 150/1000000: Train loss: 5.119732, Train Accuracy: 0.531250, lr = 0.001000
Iteration 151/1000000: Train loss: 5.119449, Train Accuracy: 0.500000, lr = 0.001000
Iteration 152/1000000: Train loss: 5.121628, Train Accuracy: 0.515625, lr = 0.001000
Iteration 153/1000000: Train loss: 5.120412, Train Accuracy: 0.484375, lr = 0.001000
Iteration 154/1000000: Train loss: 5.118574, Train Accuracy: 0.562500, lr = 0.001000
Iteration 155/1000000: Train loss: 5.119978, Train Accuracy: 0.468750, lr = 0.001000
Iteration 156/1000000: Train loss: 5.121312, Train Accuracy: 0.468750, lr = 0.001000
Iteration 157/1000000: Train loss: 5.121300, Train Accuracy: 0.406250, lr = 0.001000
Iteration 158/1000000: Train loss: 5.122557, Train Accuracy: 0.437500, lr = 0.001000
Iteration 159/1000000: Train loss: 5.119575, Train Accuracy: 0.593750, lr = 0.001000
Iteration 160/1000000: Train loss: 5.118811, Train Accuracy: 0.546875, lr = 0.001000
Iteration 161/1000000: Train loss: 5.119555, Train Accuracy: 0.531250, lr = 0.001000
Iteration 162/1000000: Train loss: 5.120297, Train Accuracy: 0.500000, lr = 0.001000
Iteration 163/1000000: Train loss: 5.119963, Train Accuracy: 0.562500, lr = 0.001000
Iteration 164/1000000: Train loss: 5.121325, Train Accuracy: 0.500000, lr = 0.001000
Iteration 165/1000000: Train loss: 5.120027, Train Accuracy: 0.515625, lr = 0.001000
Iteration 166/1000000: Train loss: 5.119840, Train Accuracy: 0.468750, lr = 0.001000
Iteration 167/1000000: Train loss: 5.119973, Train Accuracy: 0.437500, lr = 0.001000
Iteration 168/1000000: Train loss: 5.119477, Train Accuracy: 0.578125, lr = 0.001000
Iteration 169/1000000: Train loss: 5.120165, Train Accuracy: 0.562500, lr = 0.001000
Iteration 170/1000000: Train loss: 5.120290, Train Accuracy: 0.546875, lr = 0.001000
Iteration 171/1000000: Train loss: 5.120449, Train Accuracy: 0.546875, lr = 0.001000
Iteration 172/1000000: Train loss: 5.118359, Train Accuracy: 0.562500, lr = 0.001000
Iteration 173/1000000: Train loss: 5.119372, Train Accuracy: 0.531250, lr = 0.001000
Iteration 174/1000000: Train loss: 5.119618, Train Accuracy: 0.500000, lr = 0.001000
Iteration 175/1000000: Train loss: 5.119328, Train Accuracy: 0.625000, lr = 0.001000
Iteration 176/1000000: Train loss: 5.118813, Train Accuracy: 0.515625, lr = 0.001000
Iteration 177/1000000: Train loss: 5.118663, Train Accuracy: 0.609375, lr = 0.001000
Iteration 178/1000000: Train loss: 5.119323, Train Accuracy: 0.578125, lr = 0.001000
Iteration 179/1000000: Train loss: 5.118299, Train Accuracy: 0.562500, lr = 0.001000
Iteration 180/1000000: Train loss: 5.118535, Train Accuracy: 0.578125, lr = 0.001000
Iteration 181/1000000: Train loss: 5.120619, Train Accuracy: 0.531250, lr = 0.001000
Iteration 182/1000000: Train loss: 5.120113, Train Accuracy: 0.500000, lr = 0.001000
Iteration 183/1000000: Train loss: 5.120938, Train Accuracy: 0.515625, lr = 0.001000
Iteration 184/1000000: Train loss: 5.121133, Train Accuracy: 0.437500, lr = 0.001000
Iteration 185/1000000: Train loss: 5.120547, Train Accuracy: 0.484375, lr = 0.001000
Iteration 186/1000000: Train loss: 5.120957, Train Accuracy: 0.468750, lr = 0.001000
Iteration 187/1000000: Train loss: 5.119953, Train Accuracy: 0.484375, lr = 0.001000
Iteration 188/1000000: Train loss: 5.119719, Train Accuracy: 0.500000, lr = 0.001000
Iteration 189/1000000: Train loss: 5.119944, Train Accuracy: 0.453125, lr = 0.001000
Iteration 190/1000000: Train loss: 5.120210, Train Accuracy: 0.515625, lr = 0.001000
Iteration 191/1000000: Train loss: 5.118587, Train Accuracy: 0.531250, lr = 0.001000
Iteration 192/1000000: Train loss: 5.121054, Train Accuracy: 0.453125, lr = 0.001000
Iteration 193/1000000: Train loss: 5.120112, Train Accuracy: 0.546875, lr = 0.001000
Iteration 194/1000000: Train loss: 5.120214, Train Accuracy: 0.484375, lr = 0.001000
Iteration 195/1000000: Train loss: 5.120782, Train Accuracy: 0.468750, lr = 0.001000
Iteration 196/1000000: Train loss: 5.119462, Train Accuracy: 0.531250, lr = 0.001000
Iteration 197/1000000: Train loss: 5.120378, Train Accuracy: 0.531250, lr = 0.001000
Iteration 198/1000000: Train loss: 5.118018, Train Accuracy: 0.578125, lr = 0.001000
Iteration 199/1000000: Train loss: 5.118530, Train Accuracy: 0.562500, lr = 0.001000
Iteration 200/1000000: Train loss: 5.119538, Train Accuracy: 0.578125, lr = 0.001000
Iteration 201/1000000: Train loss: 5.119681, Train Accuracy: 0.546875, lr = 0.001000
Iteration 202/1000000: Train loss: 5.120118, Train Accuracy: 0.515625, lr = 0.001000
Iteration 203/1000000: Train loss: 5.121460, Train Accuracy: 0.531250, lr = 0.001000
Iteration 204/1000000: Train loss: 5.121872, Train Accuracy: 0.453125, lr = 0.001000
Iteration 205/1000000: Train loss: 5.121564, Train Accuracy: 0.453125, lr = 0.001000
Iteration 206/1000000: Train loss: 5.120677, Train Accuracy: 0.546875, lr = 0.001000
Iteration 207/1000000: Train loss: 5.119700, Train Accuracy: 0.515625, lr = 0.001000
Iteration 208/1000000: Train loss: 5.120336, Train Accuracy: 0.546875, lr = 0.001000
Iteration 209/1000000: Train loss: 5.119955, Train Accuracy: 0.562500, lr = 0.001000
Iteration 210/1000000: Train loss: 5.119415, Train Accuracy: 0.562500, lr = 0.001000
Iteration 211/1000000: Train loss: 5.118900, Train Accuracy: 0.468750, lr = 0.001000
Iteration 212/1000000: Train loss: 5.119834, Train Accuracy: 0.531250, lr = 0.001000
Iteration 213/1000000: Train loss: 5.121467, Train Accuracy: 0.531250, lr = 0.001000
Iteration 214/1000000: Train loss: 5.118017, Train Accuracy: 0.593750, lr = 0.001000
Iteration 215/1000000: Train loss: 5.120895, Train Accuracy: 0.468750, lr = 0.001000
Iteration 216/1000000: Train loss: 5.119211, Train Accuracy: 0.515625, lr = 0.001000
Iteration 217/1000000: Train loss: 5.119014, Train Accuracy: 0.500000, lr = 0.001000
Iteration 218/1000000: Train loss: 5.120475, Train Accuracy: 0.468750, lr = 0.001000
Iteration 219/1000000: Train loss: 5.120849, Train Accuracy: 0.484375, lr = 0.001000
Iteration 220/1000000: Train loss: 5.121610, Train Accuracy: 0.531250, lr = 0.001000
Iteration 221/1000000: Train loss: 5.118461, Train Accuracy: 0.609375, lr = 0.001000
Iteration 222/1000000: Train loss: 5.120225, Train Accuracy: 0.468750, lr = 0.001000
Iteration 223/1000000: Train loss: 5.119777, Train Accuracy: 0.500000, lr = 0.001000
Iteration 224/1000000: Train loss: 5.120229, Train Accuracy: 0.500000, lr = 0.001000
Iteration 225/1000000: Train loss: 5.120271, Train Accuracy: 0.515625, lr = 0.001000
Iteration 226/1000000: Train loss: 5.120540, Train Accuracy: 0.546875, lr = 0.001000
Iteration 227/1000000: Train loss: 5.119633, Train Accuracy: 0.578125, lr = 0.001000
Iteration 228/1000000: Train loss: 5.118549, Train Accuracy: 0.625000, lr = 0.001000
Iteration 229/1000000: Train loss: 5.120436, Train Accuracy: 0.562500, lr = 0.001000
Iteration 230/1000000: Train loss: 5.120463, Train Accuracy: 0.500000, lr = 0.001000
Iteration 231/1000000: Train loss: 5.120102, Train Accuracy: 0.531250, lr = 0.001000
Iteration 232/1000000: Train loss: 5.119763, Train Accuracy: 0.531250, lr = 0.001000
Iteration 233/1000000: Train loss: 5.119432, Train Accuracy: 0.500000, lr = 0.001000
Iteration 234/1000000: Train loss: 5.119118, Train Accuracy: 0.531250, lr = 0.001000
Iteration 235/1000000: Train loss: 5.120494, Train Accuracy: 0.500000, lr = 0.001000
Iteration 236/1000000: Train loss: 5.119876, Train Accuracy: 0.531250, lr = 0.001000
Iteration 237/1000000: Train loss: 5.118954, Train Accuracy: 0.531250, lr = 0.001000
Iteration 238/1000000: Train loss: 5.120903, Train Accuracy: 0.437500, lr = 0.001000
Iteration 239/1000000: Train loss: 5.118969, Train Accuracy: 0.531250, lr = 0.001000
Iteration 240/1000000: Train loss: 5.119506, Train Accuracy: 0.578125, lr = 0.001000
Iteration 241/1000000: Train loss: 5.119851, Train Accuracy: 0.484375, lr = 0.001000
Iteration 242/1000000: Train loss: 5.119690, Train Accuracy: 0.531250, lr = 0.001000
Iteration 243/1000000: Train loss: 5.120610, Train Accuracy: 0.468750, lr = 0.001000
Iteration 244/1000000: Train loss: 5.120502, Train Accuracy: 0.578125, lr = 0.001000
Iteration 245/1000000: Train loss: 5.119435, Train Accuracy: 0.593750, lr = 0.001000
Iteration 246/1000000: Train loss: 5.119809, Train Accuracy: 0.468750, lr = 0.001000
Iteration 247/1000000: Train loss: 5.120145, Train Accuracy: 0.546875, lr = 0.001000
Iteration 248/1000000: Train loss: 5.120694, Train Accuracy: 0.484375, lr = 0.001000
Iteration 249/1000000: Train loss: 5.120535, Train Accuracy: 0.500000, lr = 0.001000
Iteration 250/1000000: Train loss: 5.119916, Train Accuracy: 0.515625, lr = 0.001000
Iteration 251/1000000: Train loss: 5.120097, Train Accuracy: 0.546875, lr = 0.001000
Iteration 252/1000000: Train loss: 5.122809, Train Accuracy: 0.453125, lr = 0.001000
Iteration 253/1000000: Train loss: 5.120164, Train Accuracy: 0.531250, lr = 0.001000
Iteration 254/1000000: Train loss: 5.119264, Train Accuracy: 0.546875, lr = 0.001000
Iteration 255/1000000: Train loss: 5.120220, Train Accuracy: 0.484375, lr = 0.001000
Iteration 256/1000000: Train loss: 5.119122, Train Accuracy: 0.578125, lr = 0.001000
Iteration 257/1000000: Train loss: 5.120095, Train Accuracy: 0.500000, lr = 0.001000
Iteration 258/1000000: Train loss: 5.120088, Train Accuracy: 0.500000, lr = 0.001000
Iteration 259/1000000: Train loss: 5.117588, Train Accuracy: 0.609375, lr = 0.001000
Iteration 260/1000000: Train loss: 5.120539, Train Accuracy: 0.421875, lr = 0.001000
Iteration 261/1000000: Train loss: 5.120273, Train Accuracy: 0.546875, lr = 0.001000
Iteration 262/1000000: Train loss: 5.120584, Train Accuracy: 0.484375, lr = 0.001000
Iteration 263/1000000: Train loss: 5.120723, Train Accuracy: 0.421875, lr = 0.001000
Iteration 264/1000000: Train loss: 5.120411, Train Accuracy: 0.453125, lr = 0.001000
Iteration 265/1000000: Train loss: 5.118979, Train Accuracy: 0.562500, lr = 0.001000
Iteration 266/1000000: Train loss: 5.120803, Train Accuracy: 0.515625, lr = 0.001000
Iteration 267/1000000: Train loss: 5.118773, Train Accuracy: 0.500000, lr = 0.001000
Iteration 268/1000000: Train loss: 5.119262, Train Accuracy: 0.562500, lr = 0.001000
Iteration 269/1000000: Train loss: 5.120703, Train Accuracy: 0.437500, lr = 0.001000
Iteration 270/1000000: Train loss: 5.119337, Train Accuracy: 0.546875, lr = 0.001000
Iteration 271/1000000: Train loss: 5.120725, Train Accuracy: 0.546875, lr = 0.001000
Iteration 272/1000000: Train loss: 5.119560, Train Accuracy: 0.453125, lr = 0.001000
Iteration 273/1000000: Train loss: 5.121153, Train Accuracy: 0.500000, lr = 0.001000
Iteration 274/1000000: Train loss: 5.119656, Train Accuracy: 0.515625, lr = 0.001000
Iteration 275/1000000: Train loss: 5.120532, Train Accuracy: 0.515625, lr = 0.001000
Iteration 276/1000000: Train loss: 5.119292, Train Accuracy: 0.531250, lr = 0.001000
Iteration 277/1000000: Train loss: 5.119593, Train Accuracy: 0.562500, lr = 0.001000
Iteration 278/1000000: Train loss: 5.120003, Train Accuracy: 0.484375, lr = 0.001000
Iteration 279/1000000: Train loss: 5.120581, Train Accuracy: 0.437500, lr = 0.001000
Iteration 280/1000000: Train loss: 5.120933, Train Accuracy: 0.468750, lr = 0.001000
Iteration 281/1000000: Train loss: 5.119604, Train Accuracy: 0.484375, lr = 0.001000
Iteration 282/1000000: Train loss: 5.120430, Train Accuracy: 0.531250, lr = 0.001000
Iteration 283/1000000: Train loss: 5.121147, Train Accuracy: 0.500000, lr = 0.001000
Iteration 284/1000000: Train loss: 5.119720, Train Accuracy: 0.500000, lr = 0.001000
Iteration 285/1000000: Train loss: 5.119388, Train Accuracy: 0.515625, lr = 0.001000
Iteration 286/1000000: Train loss: 5.120120, Train Accuracy: 0.531250, lr = 0.001000
Iteration 287/1000000: Train loss: 5.118949, Train Accuracy: 0.531250, lr = 0.001000
Iteration 288/1000000: Train loss: 5.120934, Train Accuracy: 0.500000, lr = 0.001000
Iteration 289/1000000: Train loss: 5.121158, Train Accuracy: 0.515625, lr = 0.001000
Iteration 290/1000000: Train loss: 5.120385, Train Accuracy: 0.484375, lr = 0.001000
Iteration 291/1000000: Train loss: 5.121737, Train Accuracy: 0.468750, lr = 0.001000
Iteration 292/1000000: Train loss: 5.120982, Train Accuracy: 0.515625, lr = 0.001000
Iteration 293/1000000: Train loss: 5.119314, Train Accuracy: 0.546875, lr = 0.001000
Iteration 294/1000000: Train loss: 5.120610, Train Accuracy: 0.531250, lr = 0.001000
Iteration 295/1000000: Train loss: 5.119513, Train Accuracy: 0.500000, lr = 0.001000
Iteration 296/1000000: Train loss: 5.121396, Train Accuracy: 0.531250, lr = 0.001000
Iteration 297/1000000: Train loss: 5.120367, Train Accuracy: 0.546875, lr = 0.001000
Iteration 298/1000000: Train loss: 5.118537, Train Accuracy: 0.531250, lr = 0.001000
Iteration 299/1000000: Train loss: 5.119397, Train Accuracy: 0.531250, lr = 0.001000
Iteration 300/1000000: Train loss: 5.121126, Train Accuracy: 0.421875, lr = 0.001000
Iteration 301/1000000: Train loss: 5.119965, Train Accuracy: 0.484375, lr = 0.001000
Iteration 302/1000000: Train loss: 5.119058, Train Accuracy: 0.515625, lr = 0.001000
Iteration 303/1000000: Train loss: 5.120585, Train Accuracy: 0.515625, lr = 0.001000
Iteration 304/1000000: Train loss: 5.120386, Train Accuracy: 0.531250, lr = 0.001000
Iteration 305/1000000: Train loss: 5.120387, Train Accuracy: 0.500000, lr = 0.001000
Iteration 306/1000000: Train loss: 5.120651, Train Accuracy: 0.437500, lr = 0.001000
Iteration 307/1000000: Train loss: 5.119759, Train Accuracy: 0.515625, lr = 0.001000
Iteration 308/1000000: Train loss: 5.119151, Train Accuracy: 0.593750, lr = 0.001000
Iteration 309/1000000: Train loss: 5.121452, Train Accuracy: 0.421875, lr = 0.001000
Iteration 310/1000000: Train loss: 5.119203, Train Accuracy: 0.546875, lr = 0.001000
